Команда,Всего баллов
"debug.success() (Пуговкина Иванов, Стадник Виктор, Конькова Андрей, Козлова Андреев, Коршенюк Ильдар)",199
"Код🚀Мастер (Хабибрахманов Алексей, Пуговкина Сергей, Рыданов Ильдар, Евгения Дмитрий, Данилова Андрей)",199
"Код.Сектор (Королев Борис, Федосов Дмитрий, Мамедов Андреев, Аминов Иван, Швец Елена)",199
"Кибер_TEAM (Воробьев Дмитрий, Антонов Владимиров, Лебедев Артём, Первий Павел, Дикилиев Алексей)",199
"ДискPro (Карнукаев Петров, Назарцев Павел, Гурина Мария, Вавилин Сергей, Козлов Иванов)",199
"Дата++007 (Аргунов Иванов, Таранов Андреев, Завацкий Сергей, Чичигинаров Владимир, Дикилиева Елена)",199
"Команда_Инфо (Козлова Иванова, Гришин Павел, Зараменских Петров, Акладский Михаил, Хлебнов Владимиров)",198
"ПортPro (Cawa Виктор, Антон Рустам, Ульянов Андрей, Суровцева Мария, Есаулова Елена)",198
"Кибер_БУСТ_TOP (Дибров Михаил, Толстунов Петров, Владимир Ильдар, Саракеев Иванов, Акладский Владимир)",198
"Алго_Портал_TOP (Щелкушкин Андреев, Сергей Елена, Кузнецов Олег, Батаев Иванов, Эверстов Борис)",198
"Блок_БУСТ (Сапов Николай, Ростошинский Павел, Амерханов Артём, Никулин Андрей, Кливиткин Владимиров)",198
"Алго.Мастер (Бунякова Виктор, Киселев Андрей, Мизерий Павел, Хабибрахманов Николай, Морозова Артём)",198
"КодФОРК (Морозова Мария, Болтиев Иванова, Кудяков Владимир, Огаркова Михаил, Федина Борис)",198
"Сайт_РТУ_TOP (Сердюков Сергей, Рудяк Борис, Дерябкин Иванов, Туманов Рустам, Бакулина Мария)",198
"Пермь-Диск (Мансур Андреев, Иванов Михаил, Зайцев Дмитрий, Бакулин Иванов, Владимир Артём)",198
"Алго-РТУ (Гарун Иванова, Жданкин Сергей, Сластёнов Борис, Соколов Рустам, Кузьмичёва Мария)",197
"Нет.Томск (Яременко Виктор, Крылов Рустам, Аргунов Андреев, Мухин Николай, Епишин Андрей)",197
"Team_Сеть (Антонов Иванова, Морозов Павел, Сикоев Дмитрий, Сергей Владимир, Богдан Иванов)",197
"Сайт-ИЗИКАТ (Бичилов Дмитрий, Овчинников Павел, Епишин Ильдар, Рыданов Владимир, Садовникова Елена)",197
"Код🎯Портал (Саракеев Сергеев, Васильев Дмитрий, Коршенюк Борисов, Попов Михаил, Сикоев Иван)",197
"Чат.Команда (Эверстов Алексей, Попова Владимиров, Сергей Ильдар, Жданкин Михаил, Кузнецова Андрей)",197
"БитСтарт (Морозова Мария, Гучиев Николай, Зацепин Ильдар, Севрюков Иван, Сергеев Виктор)",197
"Винд++404 (Адамович Борисов, Аминов Михаил, Никулин Владимиров, Целищев Рустам, Тебиев Виктор)",196
"ЛинуксPro (Евгения Виктор, Иванова Владимир, Жданкин Андрей, Галахова Мария, Прокошин Рустам)",196
"Комп🤖404 (Гучиев Борис, Слипенко Ильдар, Попов Андрей, Васильев Михаил, Дикилиев Петров)",196
"Комп@256 (Тюнин Петров, Магомедова Елена, Огаркова Иванов, Ульянов Михаил, Alina Дмитрий)",196
"ЧипВАЙП (Тимошенко Иванов, Салищева Рустам, Шумский Петров, Дибров Владимиров, Петров Иван)",196
"РЕЛИЗ-Код (Новиков Иванова, Перов Андрей, Романенко Сергеев, Антон Владимиров, Чистякова Елена)",196
"Линукс-Команда (Романенко Андрей, Евтеев Петров, Жданкин Дмитрий, Кузнецов Олег, Рощупкин Рустам)",196
"Нет_ПРОД_TOP (Илья Иванова, Деркач Сергей, Никулина Мария, Мелисов Рустам, Евтеев Олег)",196
"Веб42 (Cawa Михаил, Севрюков Павел, Пономарёв Борис, Коваленко Олег, Кормин Владимир)",196
"Байт_СУПЕР (Илья Рустам, Шумский Сергей, Забигин Иванова, Толстов Петров, Виктория Елена)",195
"Мастер-Сеть (Уматкереев Рустам, Семенова Виктор, Алексашина Мария, Первий Иванов, Мельников Ильдар)",195
"Команда-Линукс (Дерябкин Артём, Евтушенко Олег, Трепалин Ильдар, Морозова Рустам, Павлова Елена)",195
"Комп-РТУ (Авхадеев Владимиров, Карпова Мария, Набиуллин Павел, Рогачев Борисов, Николаенко Борис)",195
"Диск418 (Завацкий Андрей, Овчинников Павел, Кормин Борис, Мельников Дмитрий, Евтушенко Иванов)",195
"Сайт_УЛЬТРА_TOP (Трепалина Мария, Мехедов Иван, Чернигин Виктор, Силуянов Сергей, Дмитриев Владимир)",195
"Алго⭐Ритм (Владимир Сергей, Сыгинь Алексей, Морозова Елена, Уматкереев Павел, Иванова Иванов)",194
"Дата🔥Вектор (Шишко Иванов, Сайпулаев Иван, Федоров Дмитрий, Шалькин Владимиров, Адымханова Мария)",194
"PRO_Софт (Амерханов Владимиров, Пучков Борисов, Галкина Иванов, Усиков Михаил, Киселева Елена)",194
"МАСТЕР_КЛАСС (Гущин Рустам, Сапов Сергеев, Салищева Петров, Гончаров Борисов, Уматкереев Андреев)",194
"Сеть_Томск_TOP (Туманов Рустам, Ахмадов Ильдар, Савин Борисов, Деркач Дмитрий, Волков Алексей)",194
"БитМосква (Пеньков Борисов, Егоров Алексей, Васильева Иванов, Толстунова Мария, Котов Сергей)",194
"Квант-Бот (Горетов Михаил, Завацкий Иванова, Таранов Борисов, Антон Владимир, Соколов Сергей)",194
"Пермь777 (Адамович Михаил, Фомин Алексей, Полин Борис, Федоров Павел, Дасаев Андреев)",194
"Чат_СКИЛЛ_TOP (Рощупкин2 Сергеев, Адамович Сергей, Трепалин Владимир, Мехедов Павел, Поярков Борисов)",193
"Томск418 (Чернигин Виктор, Хидиров Алексей, Лосяков Иванов, Слипенко Елена, Тюрин Дмитрий)",193
"Нейро777 (Алексашин Олег, Поярков Рустам, Гончаров Иванова, Чернякова Елена, Кулькова Андреев)",193
"mzhn-team (Бородина Елена, Зарипов Артём, Георг Мария, Бельков Николай, Cawa Иванов)",192
"PRO_Бит (Темиров Иванова, Дежина Ильдар, Целищев Рустам, Киселёв Виктор, Волков Андрей)",192
"Диск101 (Alina Артём, Бородин Иван, Соколов Сергеев, Гарун Иванова, Рудяк Иванов)",192
"Диск1337 (Евтеев Владимиров, Васильев Борис, Пеньков Алексей, Чернигин Сергеев, Уматкереев Андрей)",192
"Код.МФТИ (Голованева Павел, Ульянов Сергеев, Бусыгин Сергей, Рощупкин Владимиров, Кожанов Николай)",192
"Портал-Чат (Голубинец Рустам, Авхадеев Иван, Pavel Владимиров, Идрисова Ильдар, Прокошин Николай)",192
